Pollutant,Feature,K-Score,P-value
nox,AADT Petrol Car,1152.2509079333659,2.566337537797459e-250
nox,AADT Diesel Car,42.29472012361785,7.908478672256009e-11
co2,VKM 2019 - HGVs - Articulated - 6 Axles,1886873.2841305898,0.0
co2,VKM 2019 - HGVs - Articulated - 5 Axles,1414924.4028435566,0.0
co2,VKM Petrol LGV,1257985.1802140845,0.0
co2,VKM Electric Car,1254106.3966934772,0.0
co2,VKM Diesel LGV,1026601.5763690984,0.0
co2,VKM 2019 - HGVs - Rigid - 3 Axles,290973.1396163971,0.0
co2,VKM 2019 - HGVs - Rigid - 2 Axles,258740.4581317841,0.0
co2,VKM 2019 - HGVs - Articulated - 3 to 4 Axles,254451.15133408213,0.0
co2,VKM Petrol Car,45392.0709038295,0.0
co2,AADT 2019 - HGVs - Articulated - 6 Axles,17642.265066345837,0.0
co2,AADT Electric Car,15512.327839352361,0.0
co2,AADT Petrol LGV,15362.843693270712,0.0
co2,AADT 2019 - HGVs - Articulated - 5 Axles,12479.855827216164,0.0
co2,AADT Diesel LGV,11197.802213057355,0.0
co2,AADT 2019 - HGVs - Rigid - 3 Axles,6397.862954763722,0.0
co2,VKM Diesel Car,3975.8103369161663,0.0
co2,AADT 2019 - HGVs - Rigid - 2 Axles,3958.895917554615,0.0
co2,AADT 2019 - HGVs - Articulated - 3 to 4 Axles,3715.0614092064175,0.0
co2,AADT Petrol Car,818.5282321252963,6.953354524290639e-179
co2,AADT Diesel Car,14.252026801005243,0.00016003396350457738
